Title;Issn;SJR;QUARTIL;H index
Annals of Pancreatic Cancer;26162741;0.253;Q3;7
Applications of Mathematics;08627940;0.253;Q4;32
Baltic Journal of Modern Computing;22558950, 22558942;0.253;Q3;9
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie;12203874;0.253;Q3;22
Case Reports in Medicine;16879627, 16879635;0.253;Q3;27
Environment and Natural Resources Journal;16865456, 24082384;0.253;Q3;11
Ethik in der Medizin;09357335;0.253;Q2;14
EUREKA, Physics and Engineering;24614254, 24614262;0.253;Q3;12
Geographia Technica;20654421, 18425135;0.253;Q3;16
Hsi-An Chiao Tung Ta Hsueh/Journal of Xi'an Jiaotong University;0253987X;0.253;Q3;28
Indian Journal of Marketing;09738703;0.253;Q3;14
International Journal of Economic Policy in Emerging Economies;17520452, 17520460;0.253;Q3;19
International Journal of Engineering Systems Modelling and Simulation;17559766, 17559758;0.253;Q3;16
International Journal of Sociotechnology and Knowledge Development;19416253, 19416261;0.253;Q3;16
Journal of African American Studies;15591646;0.253;Q1;22
Journal of Drug Policy Analysis;19412851;0.253;Q3;6
Journal of Energy in Southern Africa;1021447X;0.253;Q3;27
Journal of Palestine Studies;0377919X, 15338614;0.253;Q3;35
Journal of the Indian Ocean Region;1948108X, 19480881;0.253;Q2;20
Mathematical Intelligencer;03436993;0.253;Q2;29
Monte Carlo Methods and Applications;09299629, 15693961;0.253;Q4;27
Narodopisna Revue;08628351;0.253;Q1;4
New Materials, Compounds and Applications;25217194, 25234773;0.253;Q3;6
Novaya i Novejshaya Istoriya;01303864;0.253;Q1;4
Polimeros;01041428;0.253;Q3;38
Polish Journal of Veterinary Sciences;15051773;0.253;Q3;35
Sociedade e Estado;19805462, 01026992;0.253;Q3;19
Transactions of the American Entomological Society;00028320;0.253;Q3;22
Zolotoordynskoe Obozrenie;23136197, 2308152X;0.253;Q1;5
Ambiente e Sociedade;1414753X;0.252;Q3;26
American Journal of Nursing;0002936X, 15387488;0.252;Q3;65
Anti-Trafficking Review;22867511, 22870113;0.252;Q2;9
AORN Journal;18780369, 00012092;0.252;Q2;53
Archaeologia Historica;23364386, 02315823;0.252;Q1;7
Atalanta;23401176;0.252;Q1;4
Bangladesh Journal of Medical Science;20760299, 22234721;0.252;Q3;17
Botanica Pacifica;24103713, 22264701;0.252;Q3;9
Bulletin of Geography, Physical Geography Series;23008490, 20807686;0.252;Q3;7
Current Optics and Photonics;25087266, 25087274;0.252;Q3;13
Foundations and Trends in Electronic Design Automation;15513947, 15513939;0.252;Q3;18
Global Responsibility to Protect;1875984X, 18759858;0.252;Q2;17
Historia Social;02142570;0.252;Q1;9
International Journal for Ion Mobility Spectrometry;18654584, 14356163;0.252;Q4;26
International Journal of Management and Decision Making;14624621, 17415187;0.252;Q3;27
International Journal of Statistics in Medical Research;19296029;0.252;Q2;4
International Journal of Web Based Communities;17418216, 14778394;0.252;Q3;25
Iranian Journal of Chemistry and Chemical Engineering;10219986;0.252;Q3;33
Journal of Agricultural Resources and Environment;20956819;0.252;Q3;10
Journal of Animal Health and Production;23082801;0.252;Q3;8
Journal of Computational Biophysics and Chemistry;27374173, 27374165;0.252;Q3;30
Journal of Education;00220574, 25155741;0.252;Q2;12
Journal of Failure Analysis and Prevention;18641245, 15477029;0.252;Q3;35
Journal of Gemmology;13554565;0.252;Q3;10
Journal of Human Sport and Exercise;19885202;0.252;Q3;32
Journal of Human Values;09730737, 09716858;0.252;Q1;19
Journal of perioperative practice;17504589, 25157949;0.252;Q2;21
Journal of Visual Communication in Medicine;17453062, 17453054;0.252;Q1;19
Measurement Techniques;05431972, 15738906;0.252;Q4;25
Ming studies;0147037X, 17597595;0.252;Q1;7
Molecular Astrophysics;24056758;0.252;Q3;15
Nano;17937094, 17932920;0.252;Q3;35
Participatory Educational Research;21486123;0.252;Q3;11
Plant Protection;26171287, 26171279;0.252;Q3;5
Planta Daninha;01008358;0.252;Q3;37
Progress in Chemistry;1005281X;0.252;Q3;38
Progress in Reaction Kinetics and Mechanism;14686783, 1471406X;0.252;Q4;27
Revista Transilvania;02550539;0.252;Q1;10
Revue Biblique;00350907;0.252;Q1;10
Sleep and Vigilance;25102265;0.252;Q4;9
Social Psychology and Society;22211527, 23117052;0.252;Q3;8
South Asia: Journal of South Asia Studies;14790270, 00856401;0.252;Q1;27
Tenside, Surfactants, Detergents;21958564, 09323414;0.252;Q3;29
Agriculture and Forestry;18006492, 05545579;0.251;Q3;10
Atmospheric and Oceanic Optics;10248560, 20700393;0.251;Q3;25
Atomic Energy;15738205, 10634258;0.251;Q3;22
Avicenna Journal of Nursing and Midwifery Care;26765748;0.251;Q3;6
Biophysics (Russian Federation);15556654, 00063509;0.251;Q4;22
Biosurface and Biotribology;24054518;0.251;Q3;8
Computer Optics;01342452;0.251;Q3;39
Data and Metadata;29534917;0.251;Q3;15
Ecological Genetics and Genomics;24059854;0.251;Q4;14
Economic and Political Weekly;23498846, 00129976;0.251;Q2;70
Engineering Economist;0013791X, 15472701;0.251;Q3;36
Foundations and Trends in Technology, Information and Operations Management;15719545;0.251;Q4;17
Global Cardiology Science and Practice;23057823;0.251;Q3;25
IAENG International Journal of Applied Mathematics;19929978, 19929986;0.251;Q4;23
International Journal of Aquatic Biology;23225270, 23830956;0.251;Q3;7
International Journal of Data Warehousing and Mining;15483924, 15483932;0.251;Q4;25
International Journal of Decision Support System Technology;19416296, 1941630X;0.251;Q3;15
International Journal of E-Services and Mobile Applications;1941627X, 19416288;0.251;Q3;13
International Journal of Human Movement and Sports Sciences;23814403, 23814381;0.251;Q3;12
International Journal of Psychology and Psychological Therapy;15777057;0.251;Q3;39
International Journal of Software Engineering and Knowledge Engineering;17936403, 02181940;0.251;Q3;41
Journal of Algorithms and Computational Technology;17483018, 17483026;0.251;Q3;20
Journal of Applied Logics;26319829, 26319810;0.251;Q4;9
Journal of Astronomy and Space Sciences;20935587, 20931409;0.251;Q3;15
Journal of Chiropractic Education;2374250X, 10425055;0.251;Q3;12
Journal of Contemporary Mathematical Analysis;10683623, 19349416;0.251;Q4;11
Journal of Research of the National Institute of Standards and Technology;1044677X;0.251;Q3;65
Journal of Testing and Evaluation;19457553, 00903973;0.251;Q3;48
Journal of the Canadian Dental Association;14882159, 07098936;0.251;Q3;69
Kappa Delta Pi Record;21631611, 00228958;0.251;Q3;13
Logical Investigations;24132713, 20741472;0.251;Q2;5
Management;18463363, 13310194;0.251;Q3;21
Metrology and Measurement Systems;08608229;0.251;Q4;35
Mineralogia;18998526, 18998291;0.251;Q3;12
Neural Network World;23364335, 12100552;0.251;Q4;30
Nukleonika;15085791, 00295922;0.251;Q3;26
Periodico di Mineralogia;22391002, 03698963;0.251;Q3;32
Rare Tumors;20363605, 20363613;0.251;Q3;21
Studia Quaternaria;16415558;0.251;Q3;16
Swiss Journal of Sociology;03793664, 22978348;0.251;Q3;9
Urbano;07173997, 07183607;0.251;Q3;5
Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition;1673064X;0.251;Q2;17
Zeitschrift fur Kristallographie - Crystalline Materials;21944946, 21967105;0.251;Q3;21
Agua y Territorio;23408472, 23407743;0.25;Q1;4
Anatolica;18756654, 00661554;0.25;Q1;9
Applied Mathematics and Nonlinear Sciences;24448656;0.25;Q3;23
Archives of Thermodynamics;20836023, 12310956;0.25;Q3;20
Brazilian Archives of Biology and Technology;15168913;0.25;Q2;64
Columbia Journal of Transnational Law;00101931;0.25;Q2;37
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering;03321649;0.25;Q3;35
Comptes Rendus - Mecanique;18737234, 16310721;0.25;Q3;64
Economics and Business Letters;22544380;0.25;Q3;11
Egyptian Liver Journal;20906226, 20906218;0.25;Q3;9
Electrica;26199831;0.25;Q3;15
European Convention on Human Rights Law Review;26663236, 26663228;0.25;Q2;4
European Journal of Applied Linguistics and TEFL;21921032;0.25;Q2;5
Experimental Oncology;18129269;0.25;Q4;48
Finisterra;04305027;0.25;Q3;15
Floresta e Ambiente;21798087, 14150980;0.25;Q3;20
Human Rights Quarterly;1085794X, 02750392;0.25;Q3;77
Hydrological Research Letters;18823416;0.25;Q3;14
Indian Journal of Nephrology;09714065, 19983662;0.25;Q3;34
Indian Journal of Surgical Oncology;09757651, 09766952;0.25;Q3;24
InterEULawEast;18493734, 18494439;0.25;Q2;5
International Forum of Psychoanalysis;16512324, 0803706X;0.25;Q3;19
International Journal of Digital Multimedia Broadcasting;16877586, 16877578;0.25;Q2;18
International Journal of Quantum Information;02197499, 17936918;0.25;Q3;44
International Journal of Religious Tourism and Pilgrimage;20097379;0.25;Q1;14
Journal of Asian Pacific Communication;15699838, 09576851;0.25;Q3;23
Journal of Multiscale Modeling;17569737, 17569745;0.25;Q4;12
Journal of the Chinese Society of Corrosion and Protection;10054537;0.25;Q3;19
Journal of the Korean Society of Food Science and Nutrition;12263311;0.25;Q3;29
Kuei Suan Jen Hsueh Pao/ Journal of the Chinese Ceramic Society;04545648;0.25;Q3;35
Mathematical Modeling and Computing;23129794, 24153788;0.25;Q4;10
Pacific Focus;12254657, 19765118;0.25;Q2;14
Pedagogia Social;19899742, 11391723;0.25;Q3;7
Pediatric nursing;00979805;0.25;Q3;51
Philanthropy and Education;24707694, 24707686;0.25;Q3;4
Plasma Research Express;25161067;0.25;Q3;10
Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference;21608563, 21608555;0.25;-;70
Publications de l'Institut Mathematique;03501302, 0522828X;0.25;Q3;19
Quaderni Costituzionali;03926664, 19738188;0.25;Q2;7
Russian Journal of Ecology;16083334, 10674136;0.25;Q4;29
Social Security Bulletin;00377910;0.25;Q3;28
South African Journal of Chemistry;03794350;0.25;Q3;27
Texas Heart Institute Journal;07302347, 15266702;0.25;Q3;63
Turk Kardiyoloji Dernegi Arsivi;10165169, 13084488;0.25;Q3;28
Acta Horticulturae Sinica;0513353X;0.249;Q3;15
Asia Oceania Journal of Nuclear Medicine and Biology;23225718, 23225726;0.249;Q3;8
Banks and Bank Systems;19917074, 18167403;0.249;Q2;22
Carpathian Journal of Earth and Environmental Sciences;18424090, 1844489X;0.249;Q3;27
College and Research Libraries News;21506698, 00990086;0.249;Q3;25
Conference Record - IEEE Instrumentation and Measurement Technology Conference;10915281;0.249;-;42
Current History;1944785X, 00113530;0.249;Q1;28
Eurasian Journal of Educational Research;1302597X, 25288911;0.249;Q3;27
European Journal of Education and Psychology;18888992, 19892209;0.249;Q3;9
Flux;11542721;0.249;Q3;15
Historia Critica;19006152, 01211617;0.249;Q1;13
Ilmu Kelautan: Indonesian Journal of Marine Sciences;24067598, 08537291;0.249;Q3;7
International Area Studies Review;20491123, 22338659;0.249;Q3;17
International Journal of Electrical and Electronic Engineering and Telecommunications;23192518;0.249;Q3;21
International Journal of Men's Social and Community Health;25619179;0.249;Q2;7
International Review of Applied Sciences and Engineering;20620810, 20634269;0.249;Q2;11
Journal of Argumentation in Context;22114742, 22114750;0.249;Q2;10
Journal of Asian American Studies;10968598;0.249;Q1;6
Journal of Cardiovascular Echography;2347193X, 22114122;0.249;Q3;15
Journal of Cold War Studies;15203972;0.249;Q1;15
Journal of Derivatives;10741240;0.249;Q3;50
Journal of Financial Management, Markets and Institutions;2282717X;0.249;Q3;5
Korean Journal of Adult Nursing;2288338X, 12254886;0.249;Q3;14
Law Reform: Jurnal Pembaharuan Hukum;25808508, 18584810;0.249;Q2;5
Orthopadie;27317145, 27317153;0.249;Q3;47
Phlebologie;25675826, 0939978X;0.249;Q3;28
Proceedings of the Indian Academy of Sciences: Mathematical Sciences;02534142, 09737685;0.249;Q3;29
Proceedings of the National Academy of Sciences India Section A - Physical Sciences;03698203, 22501762;0.249;Q3;25
Proceedings of the Zoological Institute of the Russian Academy of Sciences;22213996, 02060477;0.249;Q3;6
Radioengineering;12102512;0.249;Q3;48
Revista de Derecho Administrativo Economico;07174888, 07195591;0.249;Q2;4
Revista Espanola de la Transparencia;24442607;0.249;Q2;4
Scientia Agricultura Sinica;05781752;0.249;Q3;26
Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan;18821006, 00156426;0.249;Q3;30
South East European Journal of Economics and Business;1840118X;0.249;Q3;19
Technology Architecture and Design;24751448, 2475143X;0.249;Q1;11
Tripodos;11383305, 23405007;0.249;Q3;9
Vestnik Sankt-Peterburgskogo Universiteta. Ekonomika;2542226X, 1026356X;0.249;Q3;8
World Earthquake Engineering;10076069;0.249;Q3;17
WSEAS Transactions on Mathematics;11092769;0.249;Q4;24
Advances in Dual Diagnosis;17570972, 20428324;0.248;Q4;15
Annals of Corporate Governance;23816732, 23816724;0.248;Q2;4
Applied Mathematics and Mechanics;10000887;0.248;Q3;11
Archives Europeennes de Sociologie;14740583, 00039756;0.248;Q3;45
Arqueologia Iberoamericana;19894104;0.248;Q2;12
Arqueologia y Territorio Medieval;11343184, 23865423;0.248;Q1;3
Asphalt Paving Technology: Association of Asphalt Paving Technologists-Proceedings of the Technical Sessions;02702932;0.248;-;59
Boyhood Studies;23759240, 23759267;0.248;Q1;5
Electronic Journal of Plant Breeding;0975928X;0.248;Q3;15
Environment and Ecology Research;23316268, 2331625X;0.248;Q3;6
European Journal of Adapted Physical Activity;18033857;0.248;Q3;10
Evidence Based Library and Information Practice;1715720X;0.248;Q3;19
Forest Systems;21719845, 21715068;0.248;Q3;32
Geomatica;19254296, 11951036;0.248;Q3;24
Habitat Sustentable;07190700;0.248;Q2;5
Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences;16742974;0.248;Q2;20
InDret;1698739X;0.248;Q2;4
Interface: Communication, Health, Education;18075762, 14143283;0.248;Q3;26
International Journal of Management and Enterprise Development;17418127, 14684330;0.248;Q3;28
International Journal of Modelling, Identification and Control;17466172, 17466180;0.248;Q4;33
Iranian Journal of Veterinary Research;17281997;0.248;Q3;28
Journal of Apicultural Science;16434439;0.248;Q3;25
Journal of Fish Taxonomy;2458942X;0.248;Q3;9
Journal of International Commerce, Economics and Policy;17939933, 17939941;0.248;Q3;17
Journal of Multiple-Valued Logic and Soft Computing;15423980;0.248;Q4;29
Journal of Nanjing Forestry University (Natural Sciences Edition);10002006;0.248;Q3;9
Museum Worlds;20496737, 20496729;0.248;Q1;5
Neurocase;13554794, 14653656;0.248;Q2;71
Nutrition: X;26659026;0.248;Q3;4
REACH;23523093;0.248;Q3;13
Revista del Museo Argentino de Ciencias Naturales, Nueva Serie;15145158;0.248;Q3;19
Revista Espanola de Linguistica Aplicada;22546774, 02132028;0.248;Q2;7
Revista Mexicana de Ciencias Forestales;20071132, 24486671;0.248;Q3;7
Romanian Astronomical Journal;22853758, 12205168;0.248;Q3;5
Silvae Genetica;00375349;0.248;Q3;43
Vestnik Volgogradskogo Gosudarstvennogo Universiteta, Seriia 4: Istoriia, Regionovedenie, Mezhdunarodnye Otnosheniia;19989938, 23128704;0.248;Q1;5
World Water Policy;2639541X;0.248;Q3;7
Acta Ortopedica Brasileira;14137852;0.247;Q3;27
Agricultural Engineering;24495999, 20831587;0.247;Q3;8
Archivos de la Sociedad Espanola de Oftalmologia;03656691, 19897286;0.247;Q3;27
Biblical Annals;20832222, 24512168;0.247;Q1;3
Bulletin of the South Ural State University, Series: Mathematical Modelling, Programming and Computer Software;20710216, 23080256;0.247;Q4;14
Case Reports in Critical Care;20906420, 20906439;0.247;Q3;9
Cogito;20686706, 22479384;0.247;Q2;6
Comunicacao e Sociedade;21833575, 16452089;0.247;Q1;6
Cuadernos de Prehistoria y Arqueologia de la Universidad de Granada;21748063, 26599295;0.247;Q1;3
Dongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Southeast University (Natural Science Edition);10010505;0.247;Q3;26
Duke Environmental Law and Policy Forum;23289686, 10643958;0.247;Q2;21
Education for Information;18758649, 01678329;0.247;Q3;22
European Journal of Ecology;13398474;0.247;Q3;12
Evidence-Based Dentistry;14620049, 14765446;0.247;Q3;24
Experimental and Clinical Transplantation;13040855, 21468427;0.247;Q3;35
Food Research;25502166;0.247;Q3;20
Forensic Science Review;10427201;0.247;Q2;17
Geologia nefti i gaza;00167894, 25878263;0.247;Q3;8
Geotechnical Special Publication;08950563;0.247;-;48
Ikala;01233432;0.247;Q1;12
Indonesian Journal of Electrical Engineering and Computer Science;25024760, 25024752;0.247;Q3;39
Infectious Diseases and Immunity;20969511, 26938839;0.247;Q3;5
Intellectual Economics;18228038, 18228011;0.247;Q2;8
International Journal of Image and Graphics;02194678, 17936756;0.247;Q3;24
International journal of implant dentistry;21984034;0.247;Q3;3
Izvestiya - Atmospheric and Oceanic Physics;00014338, 1555628X;0.247;Q4;35
Jezyk Polski;00216941;0.247;Q2;6
Journal of Healthcare Quality Research;26036479;0.247;Q3;19
Journal of Mechanics of Materials and Structures;15593959;0.247;Q3;48
Journal of Muslim Mental Health;15564908, 15565009;0.247;Q1;26
Journal of Nursing Measurement;19457049, 10613749;0.247;Q3;44
Journal of the College of Physicians and Surgeons--Pakistan : JCPSP;1022386X;0.247;Q3;40
Journal of the Kansas Entomological Society;00228567;0.247;Q4;37
Journal of Veterinary Dentistry;24704083, 08987564;0.247;Q3;34
Onomazein;07171285, 07185758;0.247;Q2;14
Physical and Occupational Therapy in Geriatrics;02703181, 15413152;0.247;Q3;23
Polish Journal of Ecology;15052249;0.247;Q3;33
REDES;15790185;0.247;Q3;4
Revija Za Socijalnu Politiku;13302965;0.247;Q3;15
Revista Brasileira de Direito Processual Penal;23593881, 2525510X;0.247;Q2;4
Revista de Arqueologia;19821999, 01020420;0.247;Q1;5
Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud;20277679, 1692715X;0.247;Q3;7
RUSI Journal;17440378, 03071847;0.247;Q3;26
Starinar;24060739, 03500241;0.247;Q1;4
Studies in Ethnicity and Nationalism;14738481, 17549469;0.247;Q3;23
Tappi Journal;07341415;0.247;Q2;48
World Rabbit Science;12575011;0.247;Q3;29
Archive of Mechanical Engineering;23001895, 00040738;0.246;Q3;18
Baltic Journal of Health and Physical Activity;20801297, 20809999;0.246;Q3;8
Biomedical Human Kinetics;20802234;0.246;Q3;10
Biosystems Diversity;25202529, 25198513;0.246;Q3;16
Buffalo Law Review;00239356;0.246;Q2;20
Case Reports in Dentistry;20906455, 20906447;0.246;Q3;18
Chemistry of Heterocyclic Compounds;00093122, 15738353;0.246;Q4;41
Comptes Rendus - Biologies;17683238, 16310691;0.246;Q3;95
Current Otorhinolaryngology Reports;2167583X;0.246;Q3;19
Dialectical Anthropology;03044092, 15730786;0.246;Q2;25
Engineering Transactions;0867888X;0.246;Q3;13
Entomological News;21623236, 0013872X;0.246;Q4;26
European Education;19447086, 10564934;0.246;Q3;21
Food Science and Technology Research;13446606;0.246;Q3;52
Gynecologie Obstetrique Fertilite et Senologie;24687197, 24687189;0.246;Q3;37
Hokkaido Mathematical Journal;03854035;0.246;Q3;29
IEICE Transactions on Communications;09168516, 17451345;0.246;Q3;60
Industria Textila;12225347;0.246;Q3;18
International Anesthesiology Clinics;00205907, 15371913;0.246;Q3;36
International Journal of Knowledge Management Studies;17438276, 17438268;0.246;Q3;16
Investment Management and Financial Innovations;18104967, 18129358;0.246;Q3;25
Journal for Peace and Nuclear Disarmament;25751654;0.246;Q3;11
Journal of Education and Community Health;2820896X;0.246;Q3;7
Journal of Higher Education Outreach and Engagement;15346102, 21648212;0.246;Q3;18
Journal of Indonesian Economy and Business;23385847, 20858272;0.246;Q3;7
Journal of Interventional Medicine;20963602;0.246;Q3;6
Journal of Music Theory;19417497, 00222909;0.246;Q1;17
Journal of System and Management Sciences;18166075, 18180523;0.246;Q3;13
Linguistics in the Netherlands;09297332;0.246;Q2;17
Linguistics of the Tibeto-Burman Area;22145907, 07313500;0.246;Q2;10
Nuklearmedizin - NuclearMedicine;00295566;0.246;Q3;43
Nursing Praxis in Aotearoa New Zealand;27034542;0.246;Q3;16
Open Transportation Journal;18744478;0.246;Q3;13
Polyolefins Journal;23456868, 23222212;0.246;Q3;7
Psykhe;07182228, 07170297;0.246;Q3;23
Reseaux;17775809, 07517971;0.246;Q3;20
Reviews in Medical Microbiology;14735601, 0954139X;0.246;Q4;29
SPR Nanoscience;2049355X, 20493541;0.246;Q3;9
Stapp car crash journal;15328546;0.246;Q3;45
Veterinaria italiana;0505401X, 18281427;0.246;Q3;27
Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society;02884771;0.246;Q3;25
Zeitschrift fur Auslandisches Offentliches Recht und Volkerrecht;00442348;0.246;Q2;4
Acta Agronomica Sinica(China);04963490;0.245;Q3;24
Advanced Journal of Chemistry, Section A;26455676, 26457768;0.245;Q3;16
African Identities;14725843, 14725851;0.245;Q1;19
African Journal of Thoracic and Critical Care Medicine;26170205, 26170191;0.245;Q3;5
Annotated Legal Documents on Islam in Europe;22141340;0.245;Q1;2
Archivos Argentinos de Pediatria;03250075, 16683501;0.245;Q3;25
Balkan Social Science Review;18578772, 18578799;0.245;Q2;6
Baltic Forestry;20299230, 13921355;0.245;Q3;23
Baylor University Medical Center Proceedings;08998280, 15253252;0.245;Q3;19
Boletin Medico del Hospital Infantil de Mexico;16651146, 05396115;0.245;Q3;16
Bulletin of Experimental Biology and Medicine;00074888, 15738221;0.245;Q3;41
Bulletin of the Geological Survey of Finland;0367522X;0.245;Q3;14
Bulletin of the History of Medicine;10863176, 00075140;0.245;Q1;36
Computer-Aided Design and Applications;16864360;0.245;Q3;37
Contemporary Jewry;01471694;0.245;Q1;16
Current Research in Nutrition and Food Science;2347467X, 23220007;0.245;Q3;27
Differencialnie Uravnenia i Protsesy Upravlenia;18172172;0.245;Q3;6
Economists' Voice;15533832;0.245;Q3;17
Education as Change;19479417, 16823206;0.245;Q3;20
Emergency and Critical Care Medicine;2693860X, 20970617;0.245;Q3;2
Engineering Letters;1816093X, 18160948;0.245;Q3;24
Farmacia;00148237;0.245;Q2;31
FinanzArchiv;00152218, 16140974;0.245;Q3;21
Fluctuation and Noise Letters;17936780, 02194775;0.245;Q3;34
FormAkademisk;18909515;0.245;Q1;6
Frontiers in Dentistry;2676296X;0.245;Q3;9
Geopersia;22287817, 22287825;0.245;Q3;8
Geoplanning;23556544;0.245;Q3;4
Heart Surgery Forum;15226662, 10983511;0.245;Q3;40
HSE Economic Journal;18138691, 18138705;0.245;Q3;9
International Journal of Critical Illness and Injury Science;22295151, 22315004;0.245;Q3;18
International Journal of Performability Engineering;09731318, 29938341;0.245;Q3;28
International Journal of Risk and Safety in Medicine;18786847, 09246479;0.245;Q3;28
Italian Journal of Agrometeorology;20385625, 18248705;0.245;Q3;16
Jordan Journal of Business Administration;18158633, 23086149;0.245;Q3;6
Jordan Journal of Modern Languages and Literatures;19946953, 23048069;0.245;Q1;5
Journal of Childhood, Education and Society;2717638X;0.245;Q3;5
Journal of Latin American Cultural Studies;13569325, 14699575;0.245;Q1;17
Journal of Porphyrins and Phthalocyanines;10991409, 10884246;0.245;Q3;70
JSES Reviews, Reports, and Techniques;26666391;0.245;Q2;6
Korean Journal of Mycology;23835249, 0253651X;0.245;Q3;7
Language Learning in Higher Education;2191611X, 21916128;0.245;Q2;10
Medical Journal of Malaysia;03005283;0.245;Q3;42
Neuroforum;09470875, 23637013;0.245;Q4;10
Ornis Hungarica;12151610, 20619588;0.245;Q3;12
R-Economy;24120731;0.245;Q3;7
Revue des Composites et des Materiaux Avances;11697954, 19585799;0.245;Q3;10
Russian Electrical Engineering;10683712, 19348010;0.245;Q3;28
Safety and Reliability;24694126, 09617353;0.245;Q3;6
Society;01472011, 19364725;0.245;Q3;31
Time and Mind;17516978, 1751696X;0.245;Q2;16
Tire Science and Technology;00908657;0.245;Q3;30
Transactions of the Association of European Schools of Planning;25662147;0.245;Q3;4
Transactions of the Royal Society of South Australia;22040293, 03721426;0.245;Q2;20
Vascular and Endovascular Review;25163299, 25163302;0.245;Q3;6
Vestnik Sankt-Peterburgskogo Universiteta, Filosofiia i Konfliktologiia;25422278, 25419382;0.245;Q1;5
Veterinarni Medicina;18059392, 03758427;0.245;Q3;58
Advances in Experimental Medicine and Biology;00652598, 22148019;0.244;Q3;155
Advances in Tribology;16875915, 16875923;0.244;Q3;24
Applied Biochemistry and Microbiology;16083024, 00036838;0.244;Q3;52
Applied Environmental Research;22870741, 2287075X;0.244;Q3;8
Austral journal of veterinary sciences;07198000, 07198132;0.244;Q3;26
Brazilian Journal of Food Technology;15167275, 19816723;0.244;Q3;19
British and Irish Orthoptic Journal;25163590, 17439868;0.244;Q3;7
Chinese Journal of Ship Research;16733185;0.244;Q3;11
Commonwealth and Comparative Politics;17439094, 14662043;0.244;Q3;33
Comptes Rendus Chimie;18781543, 16310748;0.244;Q3;88
Conflict and Society;21644543, 21644551;0.244;Q1;6
Czasopismo Geograficzne;00459453;0.244;Q3;9
Estudios de Psicologia;02109395, 15793699;0.244;Q3;22
Gastrointestinal Disorders;26245647;0.244;Q3;8
Geology and Exploration;04955331;0.244;Q3;7
Helgoland Marine Research;1438387X;0.244;Q3;60
Indonesian Journal of Geography;00249521;0.244;Q3;11
International Journal of Advanced Operations Management;1758938X, 17589398;0.244;Q4;15
International Journal of Communication Networks and Information Security;20760930, 2073607X;0.244;Q3;26
International Journal of Management and Sustainability;23069856, 23060662;0.244;Q3;8
International Journal of Management in Education;17503868, 1750385X;0.244;Q3;16
Journal of Canadian Studies;19110251, 00219495;0.244;Q1;19
Journal of Cetacean Research and Management;15610713;0.244;Q3;29
Journal of Clinical Ethics;10467890;0.244;Q3;40
Journal of Emergency and Critical Care Medicine;25213563;0.244;Q3;5
Journal of Histotechnology;01478885, 20460236;0.244;Q3;26
Journal of Korean Society for Atmospheric Environment;15987132, 23835346;0.244;Q3;12
Journal of Natural Disasters;10044574;0.244;Q3;27
Journal of Relationships Research;18380956;0.244;Q4;16
Languages in Contrast;13876759, 15699897;0.244;Q2;16
Lua Nova;01026445;0.244;Q3;18
Memoirs on Differential Equations and Mathematical Physics;15120015;0.244;Q4;18
Naukovyi Visnyk Natsionalnoho Hirnychoho Universytetu;20712227, 22232362;0.244;Q3;25
Nematropica;00995444;0.244;Q3;28
Oriental Insects;21578745, 00305316;0.244;Q4;19
Pharmacia;04280296;0.244;Q2;18
Philippine Journal of Fisheries;0048377X, 26722836;0.244;Q3;6
Radiologic Technology;00338397, 19435657;0.244;Q3;26
Religion and Education;15507394, 19498381;0.244;Q1;14
Revista Derecho del Estado;23462051, 01229893;0.244;Q2;7
Russian Journal of Earth Sciences;16811178, 16811208;0.244;Q3;22
Russian Journal of Numerical Analysis and Mathematical Modelling;15693988, 09276467;0.244;Q4;24
SPE International Oilfield Chemistry Symposium Proceedings;10461779;0.244;-;41
Studies in Communication Sciences;22964150, 14244896;0.244;Q3;13
Thoracic and Cardiovascular Surgeon, Supplement;09464778;0.244;Q3;11
Tongxin Xuebao/Journal on Communications;1000436X;0.244;Q3;33
Zeitschrift fur die gesamte Versicherungswissenschaft;00442585, 18659748;0.244;Q3;12
Zhongguo Huanjing Kexue/China Environmental Science;10006923;0.244;Q3;38
Addicta: the Turkish Journal on Addictions;21491305, 21487286;0.243;Q3;9
Asian Journal of Transfusion Science;09736247, 19983565;0.243;Q4;28
Asia-Pacific Economic History Review;2832157X;0.243;Q1;18
Canrea Journal: Food Technology, Nutritions, and Culinary Journal;26219468;0.243;Q3;6
Chalcogenide Letters;15848663;0.243;Q3;35
Demokratizatsiya;10746846;0.243;Q3;29
Educacao e Sociedade;01017330;0.243;Q3;28
Emotions and Society;26316900, 26316897;0.243;Q1;8
Engenharia Agricola;18094430, 01006916;0.243;Q3;32
Estudios Geograficos;00141496, 19888546;0.243;Q3;15
Foldtani Kozlony;0015542X;0.243;Q3;13
